"state","MedianRent","averageRentZillow"
"Hawaii",1651,2850
"District of Columbia",1607
"California",1586,3000
"Maryland",1415,1844
"New Jersey",1368,2200
"Washington",1337,2195
"Massachusetts",1336,2900
"Colorado",1335,2250
"New York",1315,3400
"Virginia",1257,1997
"Alaska",1240,1489
"Florida",1218,2575
"Connecticut",1201,1485
"Oregon",1173,1854
"Nevada",1159,2150
"Delaware",1150,1610
"New Hampshire",1145,1930
"Arizona",1097,2195
"Utah",1090,2000
"Texas",1082,1886
"Georgia",1042,1999
"Illinois",1038,1650
"Rhode Island",1031,2150
"Minnesota",1010,1537
"Vermont",999,1900
"Pennsylvania",958,1525
"North Carolina",932,1850
"South Carolina",918,1775
"Tennessee",897,1860
"Michigan",892,1335
"Idaho",887,2073
"Louisiana",876,1395
"Maine",873,1875
"Wisconsin",872,1100
"Kansas",863,1056
"Nebraska",857,1186
"New Mexico",857,1595
"Wyoming",853,1100
"Indiana",844,1395
"Missouri",843,1300
"Montana",836,1800
"North Dakota",828,831
"Ohio",825,1300
"Oklahoma",818,1400
"Alabama",811,1461
"Iowa",806,1026
"Mississippi",789,1410
"Kentucky",783,1250
"South Dakota",761,1025
"Arkansas",760,1235
"West Virginia",732,899
